id,original_sentence,transformed_sentence,relative_pronoun,number,model,size,model_and_size,N1,N2,exchanged_N2,masked_token,predicted_token,accuracy,was_position,were_position,was_position_interval,were_position_interval
32,Angela gossiped with the secretary of the lawyers who,Angela gossiped with the secretary of the offices who [MASK],who,singular,BERT,base,BERT-base,secretary,lawyers,office,was,was,1,7,15,2,3
33,Anna studied with the chef of the aristocrats who,Anna studied with the chef of the offices who [MASK],who,singular,BERT,base,BERT-base,chef,aristocrats,office,was,was,1,9,14,2,3
34,Ben interviewed the companion of the basketball player who,Ben interviewed the companion of the companies who [MASK],who,singular,BERT,base,BERT-base,companion,player,company,was,were,0,60,18,5,4
35,Beth babysits the children of the musician who,Beth babysits the child of the schools who [MASK],who,singular,BERT,base,BERT-base,children,musician,school,was,were,0,99,14,5,3
36,Bill congratulated the teacher of the secondgraders who,Bill congratulated the teacher of the schools who [MASK],who,singular,BERT,base,BERT-base,teacher,secondgraders,school,was,was,1,12,14,3,3
37,Bill visited the teacher of the secondgraders who,Bill visited the teacher of the schools who [MASK],who,singular,BERT,base,BERT-base,teacher,secondgraders,school,was,was,1,9,10,2,2
38,Billy threw away his chance to become the assistant of the tailor who,Billy threw away his chance to become the assistant of the laboratories who [MASK],who,singular,BERT,base,BERT-base,assistant,tailor,laboratory,was,was,1,20,24,4,5
39,Birds wo n't be able to nest in the branch of the tree which,Birds wo n't be able to nest in the garden of the superintendents which [MASK],which,singular,BERT,base,BERT-base,garden,tree,superintendent,was,was,1,21,29,5,5
40,Bob greeted the leader of the activists who,Bob greeted the leader of the parties who [MASK],who,singular,BERT,base,BERT-base,leader,activists,party,was,was,1,11,13,3,3
41,Brian visited the associates of the businessman who,Brian visited the associate of the laboratories who [MASK],who,singular,BERT,base,BERT-base,associates,businessman,laboratory,was,was,1,8,13,2,3
42,Candice talked to the leader of the activists who,Candice talked to the leader of the parties who [MASK],who,singular,BERT,base,BERT-base,leader,activists,party,was,was,1,8,18,2,4
43,Carl works with the agent of the rockstars who,Carl works with the agent of the companies who [MASK],who,singular,BERT,base,BERT-base,agent,rockstars,company,was,were,0,198,11,5,3
44,Casey looks like the father of the students who,Casey looks like the father of the houses who [MASK],who,singular,BERT,base,BERT-base,father,students,house,was,was,1,27,126,5,5
45,Charles liked the portrait of the woman which   ,Charles liked the portrait of the painters which [MASK],which,singular,BERT,base,BERT-base,portrait,woman,painter,was,was,1,11,13,3,3
46,Charlie met the interpreter of the ambassador who,Charlie met the interpreter of the laboratories who [MASK],who,singular,BERT,base,BERT-base,interpreter,ambassador,laboratory,was,were,0,12,11,3,3
47,Craig inspected the servants of the dictator who,Craig inspected the servant of the houses who [MASK],who,singular,BERT,base,BERT-base,servants,dictator,house,was,was,1,7,14,2,3
48,During the meeting the chief of protocol tried to talk to the translator of the ambassador who,During the meeting the chief of protocol tried to talk to the translator of the cities who [MASK],who,singular,BERT,base,BERT-base,chieftranslator,ambassador,city,was,were,0,14,9,3,2
49,Emily angered the brother of the visitor who,Emily angered the brother of the houses who [MASK],who,singular,BERT,base,BERT-base,brother,visitor,house,was,was,1,14,16,3,4
50,Emily waited with the nieces of the florist who,Emily waited with the writer of the poems who [MASK],who,singular,BERT,base,BERT-base,writer,florist,poems,was,was,1,10,16,2,4
51,Everybody ignored the stepfather of the monk who,Everybody ignored the stepfather of the houses who [MASK],who,singular,BERT,base,BERT-base,stepfather,monk,house,was,were,0,23,12,5,3
52,Everybody in the office felt sorry about the death of the nephew of the director who,Everybody in the office felt sorry about the death of the nephew of the inheritences who [MASK],who,singular,BERT,base,BERT-base,deathnephew,director,inheritence,was,was,1,7,12,2,3
53,Everyone knows the agent of the author who,Everyone knows the agent of the companies who [MASK],who,singular,BERT,base,BERT-base,agent,author,company,was,were,0,38,26,5,5
54,Frank complimented the guests of the bride who,Frank complimented the guest of the hotels who [MASK],who,singular,BERT,base,BERT-base,guests,bride,hotel,was,were,0,13,11,3,3
55,Frank met the guests of the bride who,Frank met the guest of the hotels who [MASK],who,singular,BERT,base,BERT-base,guests,bride,hotel,was,was,1,11,13,3,3
56,Frank talked to the servants of the dictator who,Frank talked to the servant of the houses who [MASK],who,singular,BERT,base,BERT-base,servants,dictator,house,was,was,1,8,18,2,4
57,Friends liked the uncle of the surgeon who,Friends liked the uncle of the palaces who [MASK],who,singular,BERT,base,BERT-base,uncle,surgeon,palace,was,were,0,11,8,3,2
58,George interviewed the representative of the employees who,George interviewed the representative of the conferences who [MASK],who,singular,BERT,base,BERT-base,representative,employees,conference,was,was,1,11,13,3,3
59,George was stroking the cat of the girl which   ,George was stroking the cat of the boys which [MASK],which,singular,BERT,base,BERT-base,cat,girl,boy,was,was,1,8,13,2,3
60,Greg smiles at the secretaries of the lawyer who,Greg smiles at the secretary of the offices who [MASK],who,singular,BERT,base,BERT-base,secretaries,lawyer,office,was,was,1,40,373,5,5
61,I had to borrow the computer of the secretary which   ,I had to borrow the computer of the mechanics which [MASK],which,singular,BERT,base,BERT-base,computer,secretary,mechanic,was,was,1,9,24,2,5
62,I really liked the preface of the book which,I really liked the preface of the authors which [MASK],which,singular,BERT,base,BERT-base,preface,book,author,was,were,0,15,11,3,3
63,I wanted to take the radio of the loudspeaker which,I wanted to take the radio of the hosts which [MASK],which,singular,BERT,base,BERT-base,radio,loudspeaker,host,was,was,1,12,16,3,4
64,I was surprised by the etching of the sculpture which,I was surprised by the etching of the painters which [MASK],which,singular,BERT,base,BERT-base,etching,sculpture,painter,was,were,0,15,12,3,3
65,I was talking to the apprentice of the tailor who,I was talking to the apprentice of the colleges who [MASK],who,singular,BERT,base,BERT-base,apprentice,tailor,college,was,were,0,14,12,3,3
66,I was told the masseur of the skater who,I was told the masseur of the salons who [MASK],who,singular,BERT,base,BERT-base,masseur,skater,salon,was,was,1,12,20,3,4
67,I watched the fans of the singers who,I watched the fan of the clubs who [MASK],who,singular,BERT,base,BERT-base,fans,singers,club,was,was,1,16,34,4,5
68,In the meeting they showed us the label of the bottle which,In the meeting they showed us the label of the artists which [MASK],which,singular,BERT,base,BERT-base,label,bottle,artists,was,were,0,11,9,3,2
69,It was agreed to move the computer of the screen which,It was agreed to move the computer of the mechanics which [MASK],which,singular,BERT,base,BERT-base,computer,screen,mechanic,was,was,1,12,19,3,4
70,Ivana met the son of the delegates who,Ivana met the son of the houses who [MASK],who,singular,BERT,base,BERT-base,son,delegates,house,was,was,1,12,15,3,3
71,Janet worked as the chauffeur of the actor who,Janet worked as the chauffeur of the limousines who [MASK],who,singular,BERT,base,BERT-base,chauffeur,actor,limousine,was,were,0,21,12,5,3
72,Jared noticed the friends of the athlete who,Jared noticed the friend of the weddings who [MASK],who,singular,BERT,base,BERT-base,friends,athlete,wedding,was,was,1,10,15,2,3
73,Jenny joked with the maid of the executives who,Jenny joked with the maid of the palaces who [MASK],who,singular,BERT,base,BERT-base,maid,executives,palace,was,was,1,10,17,2,4
74,Jessica worked with the doctors of the supermodel who,Jessica worked with the doctor of the hospitals who [MASK],who,singular,BERT,base,BERT-base,doctors,supermodel,hospital,was,was,1,15,44,3,5
75,Jill started out as the consultant of the director who,Jill started out as the consultant of the companies who [MASK],who,singular,BERT,base,BERT-base,consultant,director,company,was,were,0,167,22,5,5
76,Joe ran into the brothers of the athlete who,Joe ran into the brother of the houses who [MASK],who,singular,BERT,base,BERT-base,brothers,athlete,house,was,was,1,11,13,3,3
77,Joel hires the bodyguards of the celebrity who,Joel hires the bodyguard of the palaces who [MASK],who,singular,BERT,base,BERT-base,bodyguards,celebrity,palace,was,were,0,237,30,5,5
78,John despised the chauffeur of the millionaire who,John despised the chauffeur of the limousines who [MASK],who,singular,BERT,base,BERT-base,chauffeur,millionaire,limousine,was,was,1,10,13,2,3
79,John liked the mechanic of the officer who,John liked the mechanic of the factories who [MASK],who,singular,BERT,base,BERT-base,mechanic,officer,factory,was,were,0,13,9,3,2
80,John lived next to the teacher of the secondgraders who,John lived next to the teacher of the schools who [MASK],who,singular,BERT,base,BERT-base,teacher,secondgraders,school,was,was,1,9,20,2,4
81,John met the friend of the teacher who,John met the friend of the houses who [MASK],who,singular,BERT,base,BERT-base,friend,teacher,house,was,was,1,10,26,2,5
82,John smashed the car of the company which,John smashed the car of the drivers which [MASK],which,singular,BERT,base,BERT-base,car,company,driver,was,was,1,10,20,2,4
83,John was hired as the assistant of the inspector who,John was hired as the assistant of the laboratories who [MASK],who,singular,BERT,base,BERT-base,assistant,inspector,laboratory,was,were,0,15,11,3,3
84,Julia had spoken to the secretary of the lawyers who,Julia had spoken to the secretary of the offices who [MASK],who,singular,BERT,base,BERT-base,secretary,lawyers,office,was,was,1,9,17,2,4
85,Justin carpools with the cousins of the accountant who,Justin carpools with the cousin of the houses who [MASK],who,singular,BERT,base,BERT-base,cousins,accountant,house,was,was,1,66,90,5,5
86,Kathy excelled as the secretary of the manager who,Kathy excelled as the secretary of the offices who [MASK],who,singular,BERT,base,BERT-base,secretary,manager,office,was,was,1,11,20,3,4
87,Ken videotaped the assistants of the CEO who,Ken videotaped the assistant of the laboratories who [MASK],who,singular,BERT,base,BERT-base,assistants,CEO,laboratory,was,was,1,9,20,2,4
88,Kevin counted the fans of the singer who,Kevin counted the fan of the clubs who [MASK],who,singular,BERT,base,BERT-base,fans,singer,club,was,were,0,13,9,3,2
89,Laura knows the manager of the cashiers who,Laura knows the manager of the teams who [MASK],who,singular,BERT,base,BERT-base,manager,cashiers,team,was,were,0,31,26,5,5
90,Laura lost the notebook of the sticker which,Laura lost the notebook of the guides which [MASK],which,singular,BERT,base,BERT-base,notebook,sticker,guides,was,was,1,12,16,3,4
91,Leslie is the translator of the ambassador who,Leslie is the translator of the books who [MASK],who,singular,BERT,base,BERT-base,translator,ambassador,book,was,were,0,72,40,5,5
92,Lewis ran over the carriage of the fruiterer which   ,Lewis ran over the carriage of the bridegrooms which [MASK],which,singular,BERT,base,BERT-base,carriage,fruiterer,bridegroom,was,was,1,10,13,2,3
93,Lewis ran over the dog of the fruiterer which   ,Lewis ran over the dog of the boys which [MASK],which,singular,BERT,base,BERT-base,dog,fruiterer,boy,was,was,1,9,15,2,3
94,Linda wrote to the the manager of the assistants who,Linda wrote to the the manager of the teams who [MASK],who,singular,BERT,base,BERT-base,manager,assistants,team,was,was,1,10,15,2,3
95,Louise recognized the surgeon of the star who,Louise recognized the surgeon of the hospitals who [MASK],who,singular,BERT,base,BERT-base,surgeon,star,hospital,was,was,1,11,16,3,4
96,Luis recognized the landlady of the actors who,Luis recognized the landlady of the houses who [MASK],who,singular,BERT,base,BERT-base,landlady,actors,house,was,were,0,13,12,3,3
97,Marcie as happy as the nurse of the surgeon who,Marcie as happy as the nurse of the hospitals who [MASK],who,singular,BERT,base,BERT-base,nurse,surgeon,hospital,was,was,1,20,67,4,5
98,Maria knows the assistant of the politician who,Maria knows the assistant of the laboratories who [MASK],who,singular,BERT,base,BERT-base,assistant,politician,laboratory,was,was,1,14,90,3,5
99,Maria loved the gardener of the executive who,Maria loved the gardener of the gardens who [MASK],who,singular,BERT,base,BERT-base,gardener,executive,garden,was,was,1,10,16,2,4
100,Marta was wearing the sunhat of the scarf which,Marta was wearing the sunhat of the delegates which [MASK],which,singular,BERT,base,BERT-base,sunhat,scarf,delegates,was,was,1,11,14,3,3
101,Martha cheered the brother of the priest who,Martha cheered the brother of the houses who [MASK],who,singular,BERT,base,BERT-base,brother,priest,house,was,was,1,11,14,3,3
102,Mary argued with the cousin of the milkman who,Mary argued with the cousin of the inheritences who [MASK],who,singular,BERT,base,BERT-base,cousin,milkman,inheritence,was,were,0,15,10,3,2
103,Mary greeted the brother of the minister who,Mary greeted the brother of the houses who [MASK],who,singular,BERT,base,BERT-base,brother,minister,house,was,was,1,13,15,3,3
104,Mary replaced the wire of the amplifiers which,Mary replaced the wire of the mechanics which [MASK],which,singular,BERT,base,BERT-base,wire,amplifiers,mechanic,was,were,0,14,13,3,3
105,Mary went to the cinema with the son of the milkman who,Mary went to the cinema with the son of the houses who [MASK],who,singular,BERT,base,BERT-base,son,milkman,house,was,were,0,14,11,3,3
106,Melissa babysits the children of the musician who,Melissa babysits the child of the schools who [MASK],who,singular,BERT,base,BERT-base,children,musician,school,was,were,0,60,14,5,3
107,Melissa dislikes the girls of the neighbor who,Melissa dislikes the girl of the schools who [MASK],who,singular,BERT,base,BERT-base,girls,neighbor,school,was,was,1,15,68,3,5
108,Melissa watches the girls of the neighbor who,Melissa watches the girl of the schools who [MASK],who,singular,BERT,base,BERT-base,girls,neighbor,school,was,was,1,16,109,4,5
109,Most of the patients liked the nurse of the surgeon who,Most of the patients liked the nurse of the hospitals who [MASK],who,singular,BERT,base,BERT-base,nurse,surgeon,hospital,was,were,0,13,11,3,3
110,Mr. Johnson visited the servant of the actress who,Mr. Johnson visited the servant of the churches who [MASK],who,singular,BERT,base,BERT-base,servant,actress,church,was,was,1,10,11,2,3
111,Mr. Miller ignored the student of the chemist who,Mr. Miller ignored the student of the universities who [MASK],who,singular,BERT,base,BERT-base,student,chemist,university,was,was,1,12,13,3,3
112,My brother liked listening to the recording of the songs which,My brother liked listening to the recording of the musicians which [MASK],which,singular,BERT,base,BERT-base,recording,songs,musician,was,were,0,14,13,3,3
113,My farther visited the quarters of the soldiers which   ,My farther visited the quarter of the soldiers which [MASK],which,singular,BERT,base,BERT-base,quarters,soldiers,soldiers,was,were,0,14,7,3,2
114,My friend met the aide of the detectives who,My friend met the aide of the offices who [MASK],who,singular,BERT,base,BERT-base,aide,detectives,office,was,was,1,12,21,3,5
115,My mother argued with the maid of the duchess who,My mother argued with the maid of the palaces who [MASK],who,singular,BERT,base,BERT-base,maid,duchess,palace,was,was,1,11,19,3,4
116,My mother argued with the servant of the duchess who,My mother argued with the servant of the churches who [MASK],who,singular,BERT,base,BERT-base,servant,duchess,church,was,was,1,12,13,3,3
117,Nick stood near the captain of the sailors who,Nick stood near the captain of the teams who [MASK],who,singular,BERT,base,BERT-base,captain,sailors,team,was,was,1,11,13,3,3
118,Nobody noticed the bodyguard of the ambassadors who,Nobody noticed the bodyguard of the palaces who [MASK],who,singular,BERT,base,BERT-base,bodyguard,ambassadors,palace,was,were,0,13,9,3,2
119,On the shelf I keep the box of the cover which,On the shelf I keep the box of the cleaners which [MASK],which,singular,BERT,base,BERT-base,box,cover,cleaner,was,were,0,19,16,4,4
120,Patricia saw the the teacher of the students who,Patricia saw the the teacher of the schools who [MASK],who,singular,BERT,base,BERT-base,teacher,students,school,was,was,1,9,13,2,3
121,Paul listens to the coach of the cheerleaders who,Paul listens to the coach of the teams who [MASK],who,singular,BERT,base,BERT-base,coach,cheerleaders,team,was,were,0,38,17,5,4
122,Peter had a good time with the sister of the girl who,Peter had a good time with the sister of the houses who [MASK],who,singular,BERT,base,BERT-base,sister,girl,house,was,was,1,10,11,2,3
123,Peter met the boyfriend of the host who,Peter met the boyfriend of the weddings who [MASK],who,singular,BERT,base,BERT-base,boyfriend,host,wedding,was,was,1,11,14,3,3
124,Peter met the friend of the teacher who,Peter met the friend of the houses who [MASK],who,singular,BERT,base,BERT-base,friend,teacher,house,was,was,1,9,23,2,5
125,Peter was looking at the book of the girl which   ,Peter was looking at the book of the authors which [MASK],which,singular,BERT,base,BERT-base,book,girl,author,was,was,1,7,14,2,3
126,Peter went to a concert yesterday with the mother of the countess who,Peter went to a concert yesterday with the mother of the houses who [MASK],who,singular,BERT,base,BERT-base,mother,countess,house,was,were,0,14,11,3,3
127,Rita failed as the advisor of the assistant who,Rita failed as the advisor of the offices who [MASK],who,singular,BERT,base,BERT-base,advisor,assistant,office,was,were,0,16,13,4,3
128,Robert yelled at the friend of the artist who,Robert yelled at the friend of the neighborhoods who [MASK],who,singular,BERT,base,BERT-base,friend,artist,neighborhood,was,was,1,11,13,3,3
129,Roxanne read the review of the poems which,Roxanne read the review of the guides which [MASK],which,singular,BERT,base,BERT-base,review,poems,guides,was,was,1,11,24,3,5
130,Ryan resembles the captain of the sailors who,Ryan resembles the captain of the teams who [MASK],who,singular,BERT,base,BERT-base,captain,sailors,team,was,were,0,40,13,5,3
131,Samuel was not content as the masseur of the skater who,Samuel was not content as the masseur of the salons who [MASK],who,singular,BERT,base,BERT-base,masseur,skater,salon,was,was,1,12,18,3,4
132,Sandra chatted with the gardeners of the millionaire who,Sandra chatted with the gardener of the gardens who [MASK],who,singular,BERT,base,BERT-base,gardeners,millionaire,garden,was,was,1,9,16,2,4
133,Sara did the painting of the cove which,Sara did the painting of the painters which [MASK],which,singular,BERT,base,BERT-base,painting,cove,painter,was,were,0,14,13,3,3
134,Sarah jogs with the uncle of the toddlers who,Sarah jogs with the uncle of the palaces who [MASK],who,singular,BERT,base,BERT-base,uncle,toddlers,palace,was,were,0,40,19,5,4
135,Scott counted the fans of the singer who,Scott counted the fan of the clubs who [MASK],who,singular,BERT,base,BERT-base,fans,singer,club,was,were,0,15,7,3,2
136,Several men moved the machines of the factories which,Several men moved the machine of the models which [MASK],which,singular,BERT,base,BERT-base,machines,factories,models,was,were,0,13,8,3,2
137,Silvia did n't find the cover of the pot which,Silvia did n't find the cover of the guides which [MASK],which,singular,BERT,base,BERT-base,cover,pot,guides,was,was,1,12,18,3,4
138,Someone shot the servant of the actress who,Someone shot the servant of the churches who [MASK],who,singular,BERT,base,BERT-base,servant,actress,church,was,was,1,11,46,3,5
139,Suzanne sold the painting of the beach which,Suzanne sold the painting of the painters which [MASK],which,singular,BERT,base,BERT-base,painting,beach,painter,was,was,1,10,11,2,3
140,The abbot met the father of the monk who,The abbot met the father of the houses who [MASK],who,singular,BERT,base,BERT-base,father,monk,house,was,was,1,11,13,3,3
141,The architect exhibited the drawing of the building which,The architect exhibited the drawing of the painters which [MASK],which,singular,BERT,base,BERT-base,drawing,building,painter,was,were,0,15,9,3,2
142,The architect sketched the foyer of the mansion which,The architect sketched the foyer of the doormen which [MASK],which,singular,BERT,base,BERT-base,foyer,mansion,doorman,was,were,0,12,8,3,2
143,The attorney defended the client of the realtor who,The attorney defended the client of the companies who [MASK],who,singular,BERT,base,BERT-base,client,realtor,company,was,were,0,19,8,4,2
144,The bartender served the cousin of the actor who,The bartender served the cousin of the houses who [MASK],who,singular,BERT,base,BERT-base,cousin,actor,house,was,was,1,12,13,3,3
145,The boss visited the uncle of the merchant who,The boss visited the uncle of the palaces who [MASK],who,singular,BERT,base,BERT-base,uncle,merchant,palace,was,was,1,8,10,2,2
146,The boy climbed the fence of the house which,The boy climbed the fence of the neighbors which [MASK],which,singular,BERT,base,BERT-base,fence,house,neighbor,was,was,1,11,14,3,3
147,The boys laughed at the grandmother of the girl who,The boys laughed at the grandmother of the houses who [MASK],who,singular,BERT,base,BERT-base,grandmother,girl,house,was,was,1,11,12,3,3
148,The boys poked fun at the nephew of the teacher who,The boys poked fun at the nephew of the palaces who [MASK],who,singular,BERT,base,BERT-base,nephew,teacher,palace,was,were,0,19,11,4,3
149,The boys poked fun at the niece of the teacher who,The boys poked fun at the writer of the poems who [MASK],who,singular,BERT,base,BERT-base,writer,teacher,poem,was,was,1,13,26,3,5
150,The brokers sold the stocks of the fund which,The brokers sold the stock of the cashiers which [MASK],which,singular,BERT,base,BERT-base,stocks,fund,cashiers,was,were,0,13,6,3,2
151,The busker warned the companion of the tramp who,The busker warned the companion of the companies who [MASK],who,singular,BERT,base,BERT-base,companion,tramp,company,was,were,0,28,10,5,2
152,The cameraman adored the actor of the director who,The cameraman adored the actor of the movies who [MASK],who,singular,BERT,base,BERT-base,actor,director,movie,was,was,1,10,32,2,5
153,The cameraman adored the director of the actor who,The cameraman adored the director of the universities who [MASK],who,singular,BERT,base,BERT-base,director,actor,university,was,were,0,16,14,4,3
154,The cameraman glanced at the director of the actors who,The cameraman glanced at the director of the universities who [MASK],who,singular,BERT,base,BERT-base,director,actors,university,was,was,1,10,19,2,4
155,The cameraman hated the relative of the actor who,The cameraman hated the relative of the laboratories who [MASK],who,singular,BERT,base,BERT-base,relative,actor,laboratory,was,was,1,12,13,3,3
156,The captain authorized the departure of the ship of the mast which,The captain authorized the departure of the ship of the secretary which [MASK],which,singular,BERT,base,BERT-base,ship,mast,secretary,was,was,1,13,34,3,5
157,The car stopped in front of the door of the house which,The car stopped in front of the door of the doormens which [MASK],which,singular,BERT,base,BERT-base,door,house,doorman,was,was,1,7,11,2,3
158,The caretaker drove away the footballs of the boys which   ,The caretaker drove away the football of the footballers which [MASK],which,singular,BERT,base,BERT-base,footballs,boys,footballer,was,were,0,17,9,4,2
159,The chairman phoned the boss of the clerks who,The chairman phoned the boss of the clubs who [MASK],who,singular,BERT,base,BERT-base,boss,clerks,club,was,was,1,10,21,2,5
160,The chancellor welcomed the advisor of the mayor who,The chancellor welcomed the advisor of the offices who [MASK],who,singular,BERT,base,BERT-base,advisor,mayor,office,was,were,0,26,6,5,2
161,The chef couldn' t find the cover of the pans which,The chef could n't find the cover of the guides which [MASK],which,singular,BERT,base,BERT-base,cover,pans,guides,was,was,1,12,18,3,4
162,The chef hired the friend of the waiter who,The chef hired the friend of the houses who [MASK],who,singular,BERT,base,BERT-base,friend,waiter,house,was,was,1,9,15,2,3
163,The children followed the grandmother of the girl who,The children followed the grandmother of the houses who [MASK],who,singular,BERT,base,BERT-base,grandmother,girl,house,was,were,0,18,10,4,2
164,The children were poking fun at the donkey of the milkman which   ,The children were poking fun at the donkey of the tramps which [MASK],which,singular,BERT,base,BERT-base,donkey,milkman,tramp,was,was,1,9,11,2,3
165,The cleaning lady noticed the chief of the player who,The cleaning lady noticed the chief of the offices who [MASK],who,singular,BERT,base,BERT-base,chief,player,office,was,was,1,8,19,2,4
167,The clerk asked for the consultant of the economist who,The clerk asked for the consultant of the companies who [MASK],who,singular,BERT,base,BERT-base,consultant,economist,company,was,were,0,20,6,4,2
169,The client asked for the clerk of the solicitors who,The client asked for the clerk of the offices who [MASK],who,singular,BERT,base,BERT-base,clerk,solicitors,office,was,was,1,7,27,2,5
170,The client missed the patron of the artist who,The client missed the patron of the churches who [MASK],who,singular,BERT,base,BERT-base,patron,artist,church,was,was,1,7,15,2,3
171,The coach looked at the footballer of the fans who,The coach looked at the footballer of the clubs who [MASK],who,singular,BERT,base,BERT-base,footballer,fans,club,was,were,0,15,11,3,3
172,The coach looked at the physiotherapist of the footballer who,The coach looked at the physiotherapist of the laboratories who [MASK],who,singular,BERT,base,BERT-base,physiotherapist,footballer,laboratory,was,was,1,9,29,2,5
