id,original_sentence,transformed_sentence,relative_pronoun,number,N1,N2,exchanged_N2
25,Amilia exchanges letters with the cousin of the singer who,Amilia exchanges letters with the cousin of the inheritences who was,who,singular,cousin,singer,inheritence
26,An armed robber shot the maid of the actress who,An armed robber shot the maid of the palaces who was,who,singular,maid,actress,palace
27,Andre had dinner with the niece of the porter who,Andre had dinner with the writer of the poems who was,who,singular,writer,porter,poem
28,Andres had dinner with the niece of the doorman who,Andres was eating dinner with the writer of the poems who was,who,singular,writer,doorman,poem
29,Andrew had dinner yesterday with the nephew of the teachers who,Andrew had dinner yesterday with the nephew of the palaces who was,who,singular,nephew,teachers,palace
30,Andrew had dinner yesterday with the niece of the porter who,Andrew ate yesterday with the writer of the poems who was,who,singular,writer,porter,poem
31,Andrew was speaking with the niece of the cleaner who,Andrew was speaking with the writer of the poems who was,who,singular,writer,cleaner,poem
32,Angela gossiped with the secretary of the lawyers who,Angela gossiped with the secretary of the offices who was,who,singular,secretary,lawyers,office
33,Anna studied with the chef of the aristocrats who,Anna studied with the chef of the offices who was,who,singular,chef,aristocrats,office
34,Ben interviewed the companion of the basketball player who,Ben interviewed the companion of the companies who was,who,singular,companion,player,company
35,Beth babysits the children of the musician who,Beth babysits the child of the schools who was,who,singular,children,musician,school
36,Bill congratulated the teacher of the secondgraders who,Bill congratulated the teacher of the schools who was,who,singular,teacher,secondgraders,school
37,Bill visited the teacher of the secondgraders who,Bill visited the teacher of the schools who was,who,singular,teacher,secondgraders,school
38,Billy threw away his chance to become the assistant of the tailor who,Billy threw away his chance to become the assistant of the laboratories who was,who,singular,assistant,tailor,laboratory
39,Birds wo n't be able to nest in the branch of the tree which,Birds won't be able to nest in the garden of the superintendents which was,which,singular,garden,tree,superintendent
40,Bob greeted the leader of the activists who,Bob greeted the leader of the parties who was,who,singular,leader,activists,party
41,Brian visited the associates of the businessman who,Brian visited the associate of the laboratories who was,who,singular,associates,businessman,laboratory
42,Candice talked to the leader of the activists who,Candice talked to the leader of the parties who was,who,singular,leader,activists,party
43,Carl works with the agent of the rockstars who,Carl works with the agent of the companies who was,who,singular,agent,rockstars,company
44,Casey looks like the father of the students who,Casey looks like the father of the houses who was,who,singular,father,students,house
45,Charles liked the portrait of the woman which   ,Charles liked the portrait of the painters which was,which,singular,portrait,woman,painter
46,Charlie met the interpreter of the ambassador who,Charlie met the interpreter of the laboratories who was,who,singular,interpreter,ambassador,laboratory
47,Craig inspected the servants of the dictator who,Craig inspected the servant of the houses who was,who,singular,servants,dictator,house
48,During the meeting the chief of protocol tried to talk to the translator of the ambassador who,During the meeting the chief of protocol tried to talk to the translator of the cities who was,who,singular,chieftranslator,ambassador,city
49,Emily angered the brother of the visitor who,Emily angered the brother of the houses who was,who,singular,brother,visitor,house
50,Emily waited with the nieces of the florist who,Emily waited with the writer of the poems who was,who,singular,writer,florist,poems
51,Everybody ignored the stepfather of the monk who,Everybody ignored the stepfather of the houses who was,who,singular,stepfather,monk,house
52,Everybody in the office felt sorry about the death of the nephew of the director who,Everybody in the office felt sorry about the death of the nephew of the inheritences who was,who,singular,deathnephew,director,inheritence
53,Everyone knows the agent of the author who,Everyone knows the agent of the companies who was,who,singular,agent,author,company
54,Frank complimented the guests of the bride who,Frank complimented the guest of the hotels who was,who,singular,guests,bride,hotel
55,Frank met the guests of the bride who,Frank met the guest of the hotels who was,who,singular,guests,bride,hotel
56,Frank talked to the servants of the dictator who,Frank talked to the servant of the houses who was,who,singular,servants,dictator,house
57,Friends liked the uncle of the surgeon who,Friends liked the uncle of the palaces who was,who,singular,uncle,surgeon,palace
58,George interviewed the representative of the employees who,George interviewed the representative of the conferences who was,who,singular,representative,employees,conference
59,George was stroking the cat of the girl which   ,George was stroking the cat of the boys which was,which,singular,cat,girl,boy
60,Greg smiles at the secretaries of the lawyer who,Greg smiles at the secretary of the offices who was,who,singular,secretaries,lawyer,office
61,I had to borrow the computer of the secretary which   ,I had to borrow the computer of the mechanics which was,which,singular,computer,secretary,mechanic
62,I really liked the preface of the book which,I really liked the preface of the authors which was,which,singular,preface,book,author
63,I wanted to take the radio of the loudspeaker which,I wanted to take the radio of the hosts which was,which,singular,radio,loudspeaker,host
64,I was surprised by the etching of the sculpture which,I was surprised by the etching of the painters which was,which,singular,etching,sculpture,painter
65,I was talking to the apprentice of the tailor who,I was talking to the apprentice of the colleges who was,who,singular,apprentice,tailor,college
66,I was told the masseur of the skater who,I was told the masseur of the salons who was,who,singular,masseur,skater,salon
67,I watched the fans of the singers who,I watched the fan of the clubs who was,who,singular,fans,singers,club
68,In the meeting they showed us the label of the bottle which,In the meeting they showed us the label of the artists which was,which,singular,label,bottle,artists
69,It was agreed to move the computer of the screen which,It was agreed to move the computer of the mechanics which was,which,singular,computer,screen,mechanic
70,Ivana met the son of the delegates who,Ivana met the son of the houses who was,who,singular,son,delegates,house
71,Janet worked as the chauffeur of the actor who,Janet worked as the chauffeur of the limousines who was,who,singular,chauffeur,actor,limousine
72,Jared noticed the friends of the athlete who,Jared noticed the friend of the weddings who was,who,singular,friends,athlete,wedding
73,Jenny joked with the maid of the executives who,Jenny joked with the maid of the palaces who was,who,singular,maid,executives,palace
74,Jessica worked with the doctors of the supermodel who,Jessica worked with the doctor of the hospitals who was,who,singular,doctors,supermodel,hospital
75,Jill started out as the consultant of the director who,Jill started out as the consultant of the companies who was,who,singular,consultant,director,company
76,Joe ran into the brothers of the athlete who,Joe ran into the brother of the houses who was,who,singular,brothers,athlete,house
77,Joel hires the bodyguards of the celebrity who,Joel hires the bodyguard of the palaces who was,who,singular,bodyguards,celebrity,palace
78,John despised the chauffeur of the millionaire who,John despised the chauffeur of the limousines who was,who,singular,chauffeur,millionaire,limousine
79,John liked the mechanic of the officer who,John liked the mechanic of the factories who was,who,singular,mechanic,officer,factory
80,John lived next to the teacher of the secondgraders who,John lived next to the teacher of the schools who was,who,singular,teacher,secondgraders,school
81,John met the friend of the teacher who,John met the friend of the houses who was,who,singular,friend,teacher,house
82,John smashed the car of the company which,John smashed the car of the drivers which was,which,singular,car,company,driver
83,John was hired as the assistant of the inspector who,John was hired as the assistant of the laboratories who was,who,singular,assistant,inspector,laboratory
84,Julia had spoken to the secretary of the lawyers who,Julia had spoken to the secretary of the offices who was,who,singular,secretary,lawyers,office
85,Justin carpools with the cousins of the accountant who,Justin carpools with the cousin of the houses who was,who,singular,cousins,accountant,house
86,Kathy excelled as the secretary of the manager who,Kathy excelled as the secretary of the offices who was,who,singular,secretary,manager,office
87,Ken videotaped the assistants of the CEO who,Ken videotaped the assistant of the laboratories who was,who,singular,assistants,CEO,laboratory
88,Kevin counted the fans of the singer who,Kevin counted the fan of the clubs who was,who,singular,fans,singer,club
89,Laura knows the manager of the cashiers who,Laura knows the manager of the teams who was,who,singular,manager,cashiers,team
90,Laura lost the notebook of the sticker which,Laura lost the notebook of the guides which was,which,singular,notebook,sticker,guides
91,Leslie is the translator of the ambassador who,Leslie is the translator of the books who was,who,singular,translator,ambassador,book
92,Lewis ran over the carriage of the fruiterer which   ,Lewis ran over the carriage of the bridegrooms which was,which,singular,carriage,fruiterer,bridegroom
93,Lewis ran over the dog of the fruiterer which   ,Lewis ran over the dog of the boys which was,which,singular,dog,fruiterer,boy
94,Linda wrote to the the manager of the assistants who,Linda wrote to the the manager of the teams who was,who,singular,manager,assistants,team
95,Louise recognized the surgeon of the star who,Louise recognized the surgeon of the hospitals who was,who,singular,surgeon,star,hospital
96,Luis recognized the landlady of the actors who,Luis recognized the landlady of the houses who was,who,singular,landlady,actors,house
97,Marcie as happy as the nurse of the surgeon who,Marcie as happy as the nurse of the hospitals who was,who,singular,nurse,surgeon,hospital
98,Maria knows the assistant of the politician who,Maria knows the assistant of the laboratories who was,who,singular,assistant,politician,laboratory
99,Maria loved the gardener of the executive who,Maria loved the gardener of the gardens who was,who,singular,gardener,executive,garden
100,Marta was wearing the sunhat of the scarf which,Marta was wearing the sunhat of the delegates which was,which,singular,sunhat,scarf,delegates
101,Martha cheered the brother of the priest who,Martha cheered the brother of the houses who was,who,singular,brother,priest,house
102,Mary argued with the cousin of the milkman who,Mary argued with the cousin of the inheritences who was,who,singular,cousin,milkman,inheritence
103,Mary greeted the brother of the minister who,Mary greeted the brother of the houses who was,who,singular,brother,minister,house
104,Mary replaced the wire of the amplifiers which,Mary replaced the wire of the mechanics which was,which,singular,wire,amplifiers,mechanic
105,Mary went to the cinema with the son of the milkman who,Mary went to the cinema with the son of the houses who was,who,singular,son,milkman,house
106,Melissa babysits the children of the musician who,Melissa babysits the child of the schools who was,who,singular,children,musician,school
107,Melissa dislikes the girls of the neighbor who,Melissa dislikes the girl of the schools who was,who,singular,girls,neighbor,school
108,Melissa watches the girls of the neighbor who,Melissa watches the girl of the schools who was,who,singular,girls,neighbor,school
109,Most of the patients liked the nurse of the surgeon who,Most of the patients liked the nurse of the hospitals who was,who,singular,nurse,surgeon,hospital
110,Mr. Johnson visited the servant of the actress who,Mr. Johnson visited the servant of the churches who was,who,singular,servant,actress,church
111,Mr. Miller ignored the student of the chemist who,Mr. Miller ignored the student of the universities who was,who,singular,student,chemist,university
112,My brother liked listening to the recording of the songs which,My brother liked listening to the recording of the musicians which was,which,singular,recording,songs,musician
113,My farther visited the quarters of the soldiers which   ,My farther visited the quarter of the soldiers which was,which,singular,quarters,soldiers,soldiers
114,My friend met the aide of the detectives who,My friend met the aide of the offices who was,who,singular,aide,detectives,office
115,My mother argued with the maid of the duchess who,My mother argued with the maid of the palaces who was,who,singular,maid,duchess,palace
116,My mother argued with the servant of the duchess who,My mother argued with the servant of the churches who was,who,singular,servant,duchess,church
117,Nick stood near the captain of the sailors who,Nick stood near the captain of the teams who was,who,singular,captain,sailors,team
118,Nobody noticed the bodyguard of the ambassadors who,Nobody noticed the bodyguard of the palaces who was,who,singular,bodyguard,ambassadors,palace
119,On the shelf I keep the box of the cover which,On the shelf I keep the box of the cleaners which was,which,singular,box,cover,cleaner
120,Patricia saw the the teacher of the students who,Patricia saw the the teacher of the schools who was,who,singular,teacher,students,school
121,Paul listens to the coach of the cheerleaders who,Paul listens to the coach of the teams who was,who,singular,coach,cheerleaders,team
122,Peter had a good time with the sister of the girl who,Peter had a good time with the sister of the houses who was,who,singular,sister,girl,house
123,Peter met the boyfriend of the host who,Peter met the boyfriend of the weddings who was,who,singular,boyfriend,host,wedding
124,Peter met the friend of the teacher who,Peter met the friend of the houses who was,who,singular,friend,teacher,house
125,Peter was looking at the book of the girl which   ,Peter was looking at the book of the authors which was,which,singular,book,girl,author
126,Peter went to a concert yesterday with the mother of the countess who,Peter went to a concert yesterday with the mother of the houses who was,who,singular,mother,countess,house
127,Rita failed as the advisor of the assistant who,Rita failed as the advisor of the offices who was,who,singular,advisor,assistant,office
128,Robert yelled at the friend of the artist who,Robert yelled at the friend of the neighborhoods who was,who,singular,friend,artist,neighborhood
129,Roxanne read the review of the poems which,Roxanne read the review of the guides which was,which,singular,review,poems,guides
130,Ryan resembles the captain of the sailors who,Ryan resembles the captain of the teams who was,who,singular,captain,sailors,team
131,Samuel was not content as the masseur of the skater who,Samuel was not content as the masseur of the salons who was,who,singular,masseur,skater,salon
132,Sandra chatted with the gardeners of the millionaire who,Sandra chatted with the gardener of the gardens who was,who,singular,gardeners,millionaire,garden
133,Sara did the painting of the cove which,Sara did the painting of the painters which was,which,singular,painting,cove,painter
134,Sarah jogs with the uncle of the toddlers who,Sarah jogs with the uncle of the palaces who was,who,singular,uncle,toddlers,palace
135,Scott counted the fans of the singer who,Scott counted the fan of the clubs who was,who,singular,fans,singer,club
136,Several men moved the machines of the factories which,Several men moved the machine of the models which was,which,singular,machines,factories,models
137,Silvia did n't find the cover of the pot which,Silvia did n't find the cover of the guides which was,which,singular,cover,pot,guides
138,Someone shot the servant of the actress who,Someone shot the servant of the churches who was,who,singular,servant,actress,church
139,Suzanne sold the painting of the beach which,Suzanne sold the painting of the painters which was,which,singular,painting,beach,painter
140,The abbot met the father of the monk who,The abbot met the father of the houses who was,who,singular,father,monk,house
141,The architect exhibited the drawing of the building which,The architect exhibited the drawing of the painters which was,which,singular,drawing,building,painter
142,The architect sketched the foyer of the mansion which,The architect sketched the foyer of the doormen which was,which,singular,foyer,mansion,doorman
143,The attorney defended the client of the realtor who,The attorney defended the client of the companies who was,who,singular,client,realtor,company
144,The bartender served the cousin of the actor who,The bartender served the cousin of the houses who was,who,singular,cousin,actor,house
145,The boss visited the uncle of the merchant who,The boss visited the uncle of the palaces who was,who,singular,uncle,merchant,palace
146,The boy climbed the fence of the house which,The boy climbed the fence of the neighbors which was,which,singular,fence,house,neighbor
147,The boys laughed at the grandmother of the girl who,The boys laughed at the grandmother of the houses who was,who,singular,grandmother,girl,house
148,The boys poked fun at the nephew of the teacher who,The boys poked fun at the nephew of the palaces who was,who,singular,nephew,teacher,palace
149,The boys poked fun at the niece of the teacher who,The boys poked fun at the writer of the poems who was,who,singular,writer,teacher,poem
150,The brokers sold the stocks of the fund which,The brokers sold the stock of the cashiers which was,which,singular,stocks,fund,cashiers
151,The busker warned the companion of the tramp who,The busker warned the companion of the companies who was,who,singular,companion,tramp,company
152,The cameraman adored the actor of the director who,The cameraman adored the actor of the movies who was,who,singular,actor,director,movie
153,The cameraman adored the director of the actor who,The cameraman adored the director of the universities who was,who,singular,director,actor,university
154,The cameraman glanced at the director of the actors who,The cameraman glanced at the director of the universities who was,who,singular,director,actors,university
155,The cameraman hated the relative of the actor who,The cameraman hated the relative of the laboratories who was,who,singular,relative,actor,laboratory
156,The captain authorized the departure of the ship of the mast which,The captain authorized the departure of the ship of the secretary which was,which,singular,ship,mast,secretary
157,The car stopped in front of the door of the house which,The car stopped in front of the door of the doormens which was,which,singular,door,house,doorman
158,The caretaker drove away the footballs of the boys which   ,The caretaker drove away the football of the footballers which was,which,singular,footballs,boys,footballer
159,The chairman phoned the boss of the clerks who,The chairman phoned the boss of the clubs who was,who,singular,boss,clerks,club
160,The chancellor welcomed the advisor of the mayor who,The chancellor welcomed the advisor of the offices who was,who,singular,advisor,mayor,office
161,The chef couldn' t find the cover of the pans which,The chef couldn't find the cover of the guides which was,which,singular,cover,pans,guides
162,The chef hired the friend of the waiter who,The chef hired the friend of the houses who was,who,singular,friend,waiter,house
163,The children followed the grandmother of the girl who,The children followed the grandmother of the houses who was,who,singular,grandmother,girl,house
164,The children were poking fun at the donkey of the milkman which   ,The children were poking fun at the donkey of the tramps which was,which,singular,donkey,milkman,tramp
165,The cleaning lady noticed the chief of the player who,The cleaning lady noticed the chief of the offices who was,who,singular,chief,player,office
167,The clerk asked for the consultant of the economist who,The clerk asked for the consultant of the companies who was,who,singular,consultant,economist,company
169,The client asked for the clerk of the solicitors who,The client asked for the clerk of the offices who was,who,singular,clerk,solicitors,office
170,The client missed the patron of the artist who,The client missed the patron of the churches who was,who,singular,patron,artist,church
171,The coach looked at the footballer of the fans who,The coach looked at the footballer of the clubs who was,who,singular,footballer,fans,club
172,The coach looked at the physiotherapist of the footballer who,The coach looked at the physiotherapist of the laboratories who was,who,singular,physiotherapist,footballer,laboratory
174,The collector lost the picture of the house which,The collector lost the picture of the models which was,which,singular,picture,house,models
175,The cop greeted the son of the cook who,The cop greeted the son of the houses who was,who,singular,son,cook,house
176,The count ordered the steak of the sauce which,The count ordered the steak of the cooks which was,which,singular,steak,sauce,cook
177,The crazy man hit the dog of the neighbor which   ,The crazy man hit the dog of the boys which was,which,singular,dog,neighbor,boy
178,The crewman cleaned the oar of the boat which,The crewman cleaned the oar of the tramps which was,which,singular,oar,boat,tramp
179,The critics judge very harshly the lithograph of the park which,The critics judge very harshly the lithograph of the painters which was,which,singular,lithograph,park,painter
180,The customer called to the assistants of the pharmacist who,The customer called to the assistant of the laboratories who was,who,singular,assistants,pharmacist,laboratory
181,The customer spoke to the assistant of the pharmacist who,The customer spoke to the assistant of the laboratories who was,who,singular,assistant,pharmacist,laboratory
182,The dean liked the secretary of the professor who,The dean liked the secretary of the offices who was,who,singular,secretary,professor,office
183,The dean looked at the emblem of the college which,The dean looked at the emblem of the princes which was,which,singular,emblem,college,prince
184,The dean was thinking about the professor of the researcher who,The dean was thinking about the professor of the universities who was,who,singular,professor,researcher,university
185,The dean was thinking about the researcher of the professor who,The dean was thinking about the researcher of the laboratories who was,who,singular,researcher,professor,laboratory
187,The designer agreed to show us the sketch of the house which,The designer agreed to show us the sketch of the artists which was,which,singular,sketch,house,artist
188,The detective photographed the friend of the student who,The detective photographed the friend of the houses who was,who,singular,friend,student,house
189,The detective photographed the suitcase of the student which   ,The detective photographed the suitcase of the grooms which was,which,singular,suitcase,student,groom
190,The detective pursued the bride of the prince who,The detective pursued the bride of the weddings who was,who,singular,bride,prince,wedding
191,The director congratulated the instructor of the boy who,The director congratulated the instructor of the laboratories who was,who,singular,instructor,boy,laboratory
193,The director discussed the set of the movie which,The director discussed the set of the builders which was,which,singular,set,movie,builder
194,The director looked at the artists of the actress who,The director looked at the artist of the songs who was,who,singular,artists,actress,songs
195,The director noticed the hairdresser of the actress who,The director noticed the hairdresser of the salons who was,who,singular,hairdresser,actress,salon
196,The director spoke to the actor of the cameraman who,The director spoke to the actor of the movies who was,who,singular,actor,cameraman,movie
197,The doctor contacted the lawyers of the nurses who,The doctor contacted the lawyer of the offices who was,who,singular,lawyers,nurses,office
198,The doctor contacted the nurses of the lawyer who,The doctor contacted the nurse of the hospitals who was,who,singular,nurses,lawyer,hospital
199,The doctor examined the nurse of the pupil who,The doctor examined the nurse of the hospitals who was,who,singular,nurse,pupil,hospital
200,The doctor met the son of the colonel who,The doctor met the son of the houses who was,who,singular,son,colonel,house
201,The doctor observed the attorney of the consultant who,The doctor observed the attorney of the offices who was,who,singular,attorney,consultant,office
202,The doctor recognized the nurse of the patient who,The doctor recognized the nurse of the hospitals who was,who,singular,nurse,patient,hospital
203,The doctor smiled at the nurses of the patient who,The doctor smiled at the nurse of the hospitals who was,who,singular,nurses,patient,hospital
204,The dog barked at the football of the boy which   ,The dog barked at the football of the footballers which was,which,singular,football,boy,footballer
205,The dog barked at the niece of the empress who,The dog barked at the writer of the poems who was,who,singular,writer,empress,poem
206,The doorman was talking to the sister of the nurse who,The doorman was talking to the sister of the houses who was,who,singular,sister,nurse,house
207,The dressmaker was sewing the dress of the girl which   ,The dressmaker was sewing the dress of the hairdressers which was,which,singular,dress,girl,hairdresser
208,The economist liked the journalist of the editor who,The economist liked the journalist of the universities who was,who,singular,journalist,editor,university
209,The emperor described the painting of the crown which,The emperor described the painting of the painters which was,which,singular,painting,crown,painter
210,The employee greeted the worker of the manager who,The employee greeted the worker of the hospitals who was,who,singular,worker,manager,hospital
211,The explosion deafened the assistant of the inspector who,The explosion deafened the assistant of the laboratories who was,who,singular,assistant,inspector,laboratory
212,The explosion reached the assistant of the superintendent who,The explosion reached the assistant of the laboratories who was,who,singular,assistant,superintendent,laboratory
213,The explosion reached the car of the teacher which   ,The explosion reached the car of the drivers which was,which,singular,car,teacher,driver
214,The fan despised the mascot of the team which,The fan despised the mascot of the cheerleaders which was,which,singular,mascot,team,cheerleaders
215,The fan looked at the guitarist of the singers who,The fan looked at the guitarist of the bands who was,who,singular,guitarist,singers,band
216,The fireman called to the photographer of the journalist who,The fireman called to the photographer of the sculptures who was,who,singular,photographer,journalist,sculpture
217,The fireman observed the photographers of the journalist who,The fireman observed the photographer of the sculptures who was,who,singular,photographers,journalist,sculpture
218,The girl was interested in the artist of the actress who,The girl was interested in the artist of the sculptures who was,who,singular,artist,actress,sculpture
219,The governor bought some books for the library of the school which,The governor bought some books for the library of the visitors which was,which,singular,library,school,visitor
220,The grandfather bothered the father of the boy who,The grandfather bothered the father of the houses who was,who,singular,father,boy,house
221,The guest impressed the brother of the bridegroom who,The guest impressed the brother of the houses who was,who,singular,brother,bridegroom,house
222,The headmaster called to the pupils of the teacher who,The headmaster called to the pupil of the schools who was,who,singular,pupils,teacher,school
223,The headmaster called to the teacher of the pupil who,The headmaster called to the teacher of the schools who was,who,singular,teacher,pupil,school
224,The headmaster smiled at the pupils of the teacher who,The headmaster smiled at the pupil of the schools who was,who,singular,pupils,teacher,school
225,The host insulted the friend of the pharmacist who,The host insulted the friend of the houses who was,who,singular,friend,pharmacist,house
226,The hotel director didn't want to see the guide of the tourists who,The hotel director didn't want to see the guide of the books who was,who,singular,guide,tourists,book
227,The housekeeper searched for the maid of the duchess who,The housekeeper searched for the maid of the palaces who was,who,singular,maid,duchess,palace
228,The impolite students stared at the husband of the headmaster who,The impolite students stared at the husband of the houses who was,who,singular,husband,headmaster,house
229,The inspector glanced at the deputies of the policeman who,The inspector glanced at the deputy of the offices who was,who,singular,deputies,policeman,office
231,The inspector observed the suitcase of the traveler which   ,The inspector observed the suitcase of the grooms which was,which,singular,suitcase,traveler,groom
232,The inspector watched the deputies of the policemen who,The inspector watched the deputy of the offices who was,who,singular,deputies,policemen,office
233,The insurance inspector photographed the engine of the boat which,The insurance inspector photographed the engine of the mechanics which was,which,singular,engine,boat,mechanic
234,The interviewer looked at the bodyguards of the prince who,The interviewer looked at the bodyguard of the palaces who was,who,singular,bodyguards,prince,palace
235,The interviewer paid the son of the journalist who,The interviewer paid the son of the houses who was,who,singular,son,journalist,house
236,The journalist asked for the secretary of the minister who,The journalist asked for the secretary of the offices who was,who,singular,secretary,minister,office
237,The journalist called to the secretary of the ministers who,The journalist called to the secretary of the offices who was,who,singular,secretary,ministers,office
238,The journalist criticized the pilot of the traveler who,The journalist criticized the pilot of the planes who was,who,singular,pilot,traveler,plane
239,The journalist had interviewed the daughter of the colonel who,The journalist had interviewed the daughter of the houses who was,who,singular,daughter,colonel,house
240,The journalist hated the soldier of the colonel who,The journalist hated the soldier of the groups who was,who,singular,soldier,colonel,group
241,The journalist hated the soldiers of the colonels who,The journalist hated the soldier of the armies who was,who,singular,soldiers,colonels,army
242,The journalist interviewed the agent of the author who,The journalist interviewed the agent of the companies who was,who,singular,agent,author,company
243,The journalist interviewed the assistant of the inspector who,The journalist interviewed the assistant of the laboratories who was,who,singular,assistant,inspector,laboratory
244,The journalist interviewed the chauffeur of the mayoress who,The journalist interviewed the chauffeur of the limousines who was,who,singular,chauffeur,mayoress,limousine
245,The journalist interviewed the coach of the gymnasts who,The journalist interviewed the coach of the teams who was,who,singular,coach,gymnasts,team
246,The journalist interviewed the daughter of the colonel who,The journalist interviewed the daughter of the houses who was,who,singular,daughter,colonel,house
248,The journalist interviewed the mistress of the queen who,The journalist interviewed the mistress of the palaces who was,who,singular,mistress,queen,palace
249,The journalist interviewed the secretary of the mayor who,The journalist interviewed the secretary of the offices who was,who,singular,secretary,mayor,office
250,The journalist photographed the daughter of the king who,The journalist photographed the daughter of the houses who was,who,singular,daughter,king,house
251,The journalist was unable to interview the daughter of the hostages who,The journalist was unable to interview the daughter of the houses who was,who,singular,daughter,hostages,house
252,The judge recognized the solicitor of the criminal who,The judge recognized the solicitor of the offices who was,who,singular,solicitor,criminal,office
253,The lawyer contacted the clerk of the judge who,The lawyer contacted the clerk of the offices who was,who,singular,clerk,judge,office
254,The little girl envied the maid of the princess who,The little girl envied the maid of the hotels who was,who,singular,maid,princess,hotel
255,The little girl envied the princess of the maid who,The little girl envied the princess of the palaces who was,who,singular,princess,maid,palace
256,The local newspaper columnist wrote about the mascot of the club which,The local newspaper columnist wrote about the mascot of the cheerleaders which was,which,singular,mascot,club,cheerleaders
257,The lorry ran over the bicycle of the policeman which   ,The lorry ran over the bicycle of the drivers which was,which,singular,bicycle,policeman,driver
258,The maiden was having a look at the wardrobe of the countess which   ,The maiden was having a look at the wardrobe of the grooms which was,which,singular,wardrobe,countess,groom
259,The man asked for the apprentices of the builder who,The man asked for the apprentice of the factories who was,who,singular,apprentices,builder,factories
260,The man called to the guide of the travelers who,The man called to the guide of the books who was,who,singular,guide,travelers,book
261,The man collects the wines of the beers  which,The man collects the wine of the tourists which was,which,singular,wines,beers,tourists
262,The man folds the pants of the pullovers  which,The man folds the pant of the toddlers which was,which,singular,pants,pullovers,toddlers
263,The man grabs the keys of the phones  which,The man grabs the key of the drivers which was,which,singular,keys,phones,driver
264,The man marks the crates of the boxes  which,The man marks the crate of the models which was,which,singular,crates,boxes,models
265,The man noticed the hairdresser of the singers who,The man noticed the hairdresser of the salons who was,who,singular,hairdresser,singers,salon
266,The man observed the barrister of the criminals who,The man observed the barrister of the offices who was,who,singular,barrister,criminals,office
267,The man observed the sergeant of the soldiers who,The man observed the sergeant of the offices who was,who,singular,sergeant,soldiers,office
268,The man questioned the guide of the tourist who,The man questioned the guide of the books who was,who,singular,guide,tourist,book
269,The man removes the towels of the bathrobes  which,The man removes the towel of the cleaners which was,which,singular,towels,bathrobes,cleaner
270,The man serves the drinks of the dishes  which,The man serves the drink of the cooks which was,which,singular,drinks,dishes,cook
271,The man smiled at the supervisor of the clerk who,The man smiled at the supervisor of the offices who was,who,singular,supervisor,clerk,office
272,The man spoke to the secretary of the manager who,The man spoke to the secretary of the offices who was,who,singular,secretary,manager,office
273,The man washes the scooters of the bicycles  which,The man washes the scooter of the models which was,which,singular,scooters,bicycles,models
